Year,zipcode,PrimaryType,Count
2001,60607,PUBLIC PEACE VIOLATION,108
2001,60607,ROBBERY,186
2001,60607,SEX OFFENSE,16
2001,60607,STALKING,1
2001,60607,THEFT,1266
2001,60607,WEAPONS VIOLATION,52
2001,60608,ARSON,41
2001,60608,ASSAULT,601
2001,60608,BATTERY,1454
2001,60608,BURGLARY,429
2001,60608,CRIM SEXUAL ASSAULT,13
2001,60608,CRIMINAL DAMAGE,1073
2001,60608,CRIMINAL TRESPASS,180
2001,60608,DECEPTIVE PRACTICE,194
2001,60608,GAMBLING,2
2001,60608,HOMICIDE,18
2001,60608,INTERFERENCE WITH PUBLIC OFFICER,4
2001,60608,INTIMIDATION,11
2001,60608,KIDNAPPING,20
2001,60608,LIQUOR LAW VIOLATION,66
2001,60608,MOTOR VEHICLE THEFT,478
2001,60608,NARCOTICS,494
2001,60608,OBSCENITY,1
2001,60608,OFFENSE INVOLVING CHILDREN,48
2001,60608,OTHER NARCOTIC VIOLATION,2
2001,60608,OTHER OFFENSE,380
2001,60608,PROSTITUTION,47
2001,60608,PUBLIC PEACE VIOLATION,50
2001,60608,ROBBERY,204
2001,60608,SEX OFFENSE,43
2001,60608,STALKING,6
2001,60608,THEFT,1529
2001,60608,WEAPONS VIOLATION,107
2001,60609,ARSON,46
2001,60609,ASSAULT,900
2001,60609,BATTERY,2812
2001,60609,BURGLARY,763
2001,60609,CRIM SEXUAL ASSAULT,49
2001,60609,CRIMINAL DAMAGE,1391
2001,60609,CRIMINAL TRESPASS,292
2001,60609,DECEPTIVE PRACTICE,213
2001,60609,GAMBLING,44
2001,60609,HOMICIDE,29
2001,60609,INTERFERENCE WITH PUBLIC OFFICER,13
2001,60609,INTIMIDATION,10
2001,60609,KIDNAPPING,22
2001,60609,LIQUOR LAW VIOLATION,36
2001,60609,MOTOR VEHICLE THEFT,617
2001,60609,NARCOTICS,1569
2001,60609,OFFENSE INVOLVING CHILDREN,64
2001,60609,OTHER OFFENSE,767
2001,60609,PROSTITUTION,261
2001,60609,PUBLIC INDECENCY,1
2001,60609,PUBLIC PEACE VIOLATION,95
2001,60609,ROBBERY,482
2001,60609,SEX OFFENSE,66
2001,60609,STALKING,5
2001,60609,THEFT,2074
2001,60609,WEAPONS VIOLATION,159
2001,60610,ARSON,5
2001,60610,ASSAULT,397
2001,60610,BATTERY,1587
2001,60610,BURGLARY,181
2001,60610,CRIM SEXUAL ASSAULT,24
2001,60610,CRIMINAL DAMAGE,633
2001,60610,CRIMINAL TRESPASS,620
2001,60610,DECEPTIVE PRACTICE,275
2001,60610,GAMBLING,1
2001,60610,HOMICIDE,8
2001,60610,INTERFERENCE WITH PUBLIC OFFICER,16
2001,60610,INTIMIDATION,1
2001,60610,KIDNAPPING,8
2001,60610,LIQUOR LAW VIOLATION,12
2001,60610,MOTOR VEHICLE THEFT,203
2001,60610,NARCOTICS,1267
2001,60610,OFFENSE INVOLVING CHILDREN,23
2001,60610,OTHER OFFENSE,370
2001,60610,PROSTITUTION,197
2001,60610,PUBLIC INDECENCY,1
2001,60610,PUBLIC PEACE VIOLATION,37
2001,60610,ROBBERY,226
2001,60610,SEX OFFENSE,27
2001,60610,STALKING,2
2001,60610,THEFT,2300
2001,60610,WEAPONS VIOLATION,64
2001,60611,ASSAULT,170
2001,60611,BATTERY,346
2001,60611,BURGLARY,132
2001,60611,CRIM SEXUAL ASSAULT,5
2001,60611,CRIMINAL DAMAGE,200
2001,60611,CRIMINAL TRESPASS,176
2001,60611,DECEPTIVE PRACTICE,430
2001,60611,INTERFERENCE WITH PUBLIC OFFICER,1
2001,60611,INTIMIDATION,2
2001,60611,KIDNAPPING,2
2001,60611,LIQUOR LAW VIOLATION,14
2001,60611,MOTOR VEHICLE THEFT,75
2001,60611,NARCOTICS,36
2001,60611,OBSCENITY,1
2001,60611,OFFENSE INVOLVING CHILDREN,8
2001,60611,OTHER OFFENSE,237
2001,60611,PROSTITUTION,30
2001,60611,PUBLIC PEACE VIOLATION,46
2001,60611,ROBBERY,79
2001,60611,SEX OFFENSE,8
2001,60611,STALKING,1
2001,60611,THEFT,2728
2001,60611,WEAPONS VIOLATION,10
2001,60612,ARSON,16
2001,60612,ASSAULT,686
2001,60612,BATTERY,2230
2001,60612,BURGLARY,379
2001,60612,CRIM SEXUAL ASSAULT,44
2001,60612,CRIMINAL DAMAGE,1013
2001,60612,CRIMINAL TRESPASS,749
2001,60612,DECEPTIVE PRACTICE,169
2001,60612,GAMBLING,29
2001,60612,HOMICIDE,16
2001,60612,INTERFERENCE WITH PUBLIC OFFICER,10
2001,60612,INTIMIDATION,9
2001,60612,KIDNAPPING,18
2001,60612,LIQUOR LAW VIOLATION,33
2001,60612,MOTOR VEHICLE THEFT,521
2001,60612,NARCOTICS,2904
2001,60612,OBSCENITY,1
2001,60612,OFFENSE INVOLVING CHILDREN,37
2001,60612,OTHER OFFENSE,519
2001,60612,PROSTITUTION,499
2001,60612,PUBLIC PEACE VIOLATION,48
2001,60612,ROBBERY,401
2001,60612,SEX OFFENSE,49
2001,60612,STALKING,3
2001,60612,THEFT,1668
2001,60612,WEAPONS VIOLATION,124
2001,60613,ARSON,5
2001,60613,ASSAULT,272
2001,60613,BATTERY,824
2001,60613,BURGLARY,373
2001,60613,CRIM SEXUAL ASSAULT,18
2001,60613,CRIMINAL DAMAGE,662
2001,60613,CRIMINAL TRESPASS,167
2001,60613,DECEPTIVE PRACTICE,254
2001,60613,GAMBLING,10
2001,60613,HOMICIDE,3
2001,60613,INTERFERENCE WITH PUBLIC OFFICER,7
2001,60613,INTIMIDATION,2
2001,60613,KIDNAPPING,6
2001,60613,LIQUOR LAW VIOLATION,35
2001,60613,MOTOR VEHICLE THEFT,259
2001,60613,NARCOTICS,268
2001,60613,OFFENSE INVOLVING CHILDREN,8
2001,60613,OTHER NARCOTIC VIOLATION,1
2001,60613,OTHER OFFENSE,354
2001,60613,PROSTITUTION,89
2001,60613,PUBLIC PEACE VIOLATION,37
2001,60613,RITUALISM,1
2001,60613,ROBBERY,166
2001,60613,SEX OFFENSE,25
2001,60613,STALKING,1
2001,60613,THEFT,1493
2001,60613,WEAPONS VIOLATION,21
2001,60614,ARSON,4
2001,60614,ASSAULT,230
2001,60614,BATTERY,683
2001,60614,BURGLARY,475
2001,60614,CRIM SEXUAL ASSAULT,20
2001,60614,CRIMINAL DAMAGE,821
2001,60614,CRIMINAL TRESPASS,180
2001,60614,DECEPTIVE PRACTICE,390
2001,60614,GAMBLING,1
2001,60614,HOMICIDE,1
2001,60614,INTERFERENCE WITH PUBLIC OFFICER,3
2001,60614,KIDNAPPING,10
2001,60614,LIQUOR LAW VIOLATION,39
2001,60614,MOTOR VEHICLE THEFT,412
2001,60614,NARCOTICS,102
2001,60614,OFFENSE INVOLVING CHILDREN,12
2001,60614,OTHER NARCOTIC VIOLATION,1
2001,60614,OTHER OFFENSE,291
2001,60614,PROSTITUTION,252
2001,60614,PUBLIC PEACE VIOLATION,25
2001,60614,ROBBERY,175
2001,60614,SEX OFFENSE,32
2001,60614,STALKING,1
2001,60614,THEFT,3211
2001,60614,WEAPONS VIOLATION,22
2001,60615,ARSON,11
2001,60615,ASSAULT,642
2001,60615,BATTERY,1864
2001,60615,BURGLARY,403
2001,60615,CRIM SEXUAL ASSAULT,44
2001,60615,CRIMINAL DAMAGE,914
2001,60615,CRIMINAL TRESPASS,250
2001,60615,DECEPTIVE PRACTICE,272
2001,60615,GAMBLING,31
2001,60615,HOMICIDE,8
2001,60615,INTERFERENCE WITH PUBLIC OFFICER,12
2001,60615,KIDNAPPING,8
2001,60615,LIQUOR LAW VIOLATION,21
2001,60615,MOTOR VEHICLE THEFT,539
2001,60615,NARCOTICS,582
2001,60615,OFFENSE INVOLVING CHILDREN,47
2001,60615,OTHER OFFENSE,739
2001,60615,PROSTITUTION,62
2001,60615,PUBLIC PEACE VIOLATION,25
2001,60615,ROBBERY,463
2001,60615,SEX OFFENSE,30
2001,60615,STALKING,9
2001,60615,THEFT,2103
2001,60615,WEAPONS VIOLATION,66
2001,60616,ARSON,20
2001,60616,ASSAULT,559
2001,60616,BATTERY,1955
2001,60616,BURGLARY,467
2001,60616,CRIM SEXUAL ASSAULT,33
2001,60616,CRIMINAL DAMAGE,1138
2001,60616,CRIMINAL TRESPASS,897
2001,60616,DECEPTIVE PRACTICE,293
2001,60616,GAMBLING,17
2001,60616,HOMICIDE,12
2001,60616,INTERFERENCE WITH PUBLIC OFFICER,9
2001,60616,INTIMIDATION,2
2001,60616,KIDNAPPING,7
2001,60616,LIQUOR LAW VIOLATION,34
2001,60616,MOTOR VEHICLE THEFT,467
