"Year","PrimaryType","zipcode","Count","pop","CrimesPerThousand","CitywideCrimesPerThousand","SurpriseRatio"
2001,"TOTAL CRIME","60602",3823,1204,3175.24916943522,182.466292312108,0
2001,"WEAPONS VIOLATION","60602",6,1204,4.98338870431894,1.60555731696872,0
2001,"ARSON","60603",0,493,0,0.379413404337484,0
2001,"ASSAULT","60603",107,493,217.038539553753,11.7896141403244,0
2001,"BATTERY","60603",170,493,344.827586206897,35.1040043516088,0
2001,"BURGLARY","60603",49,493,99.3914807302231,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60603",0,493,0,0,0
2001,"CRIM SEXUAL ASSAULT","60603",2,493,4.05679513184584,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60603",106,493,215.01014198783,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60603",145,493,294.117647058824,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60603",300,493,608.519269776876,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60603",0,493,0,0.000375656835977707,0
2001,"GAMBLING","60603",0,493,0,0.350863484803178,0
2001,"HOMICIDE","60603",0,493,0,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60603",0,493,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60603",3,493,6.08519269776876,0.152516675406949,0
2001,"INTIMIDATION","60603",3,493,6.08519269776876,0.10480825723778,0
2001,"KIDNAPPING","60603",0,493,0,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60603",7,493,14.1987829614604,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60603",34,493,68.9655172413793,10.3489701743499,0
2001,"NARCOTICS","60603",55,493,111.561866125761,18.9958392248847,0
2001,"NON - CRIMINAL","60603",0,493,0,0,0
2001,"NON-CRIMINAL","60603",0,493,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60603",0,493,0,0,0
2001,"OBSCENITY","60603",0,493,0,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60603",0,493,0,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60603",0,493,0,0.00225394101586624,0
2001,"OTHER OFFENSE","60603",126,493,255.578093306288,11.1404791277549,0
2001,"PROSTITUTION","60603",2,493,4.05679513184584,2.26370809360166,0
2001,"PUBLIC INDECENCY","60603",0,493,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60603",39,493,79.1075050709939,1.03305629893869,0
2001,"RITUALISM","60603",0,493,0,0.00300525468782166,0
2001,"ROBBERY","60603",65,493,131.84584178499,6.9274877122649,0
2001,"SEX OFFENSE","60603",14,493,28.3975659229209,0.837339087394309,0
2001,"STALKING","60603",1,493,2.02839756592292,0.0762583377034745,0
2001,"THEFT","60603",1958,493,3971.60243407708,37.2892001664911,0
2001,"TOTAL CRIME","60603",3189,493,6468.55983772819,182.466292312108,0
2001,"WEAPONS VIOLATION","60603",3,493,6.08519269776876,1.60555731696872,0
2001,"ARSON","60604",0,570,0,0.379413404337484,0
2001,"ASSAULT","60604",55,570,96.4912280701754,11.7896141403244,0
2001,"BATTERY","60604",117,570,205.263157894737,35.1040043516088,0
2001,"BURGLARY","60604",28,570,49.1228070175439,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60604",0,570,0,0,0
2001,"CRIM SEXUAL ASSAULT","60604",1,570,1.75438596491228,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60604",75,570,131.578947368421,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60604",50,570,87.719298245614,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60604",118,570,207.017543859649,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60604",0,570,0,0.000375656835977707,0
2001,"GAMBLING","60604",2,570,3.50877192982456,0.350863484803178,0
2001,"HOMICIDE","60604",0,570,0,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60604",0,570,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60604",0,570,0,0.152516675406949,0
2001,"INTIMIDATION","60604",1,570,1.75438596491228,0.10480825723778,0
2001,"KIDNAPPING","60604",0,570,0,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60604",1,570,1.75438596491228,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60604",44,570,77.1929824561404,10.3489701743499,0
2001,"NARCOTICS","60604",31,570,54.3859649122807,18.9958392248847,0
2001,"NON - CRIMINAL","60604",0,570,0,0,0
2001,"NON-CRIMINAL","60604",0,570,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60604",0,570,0,0,0
2001,"OBSCENITY","60604",0,570,0,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60604",1,570,1.75438596491228,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60604",0,570,0,0.00225394101586624,0
2001,"OTHER OFFENSE","60604",159,570,278.947368421053,11.1404791277549,0
2001,"PROSTITUTION","60604",1,570,1.75438596491228,2.26370809360166,0
2001,"PUBLIC INDECENCY","60604",0,570,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60604",75,570,131.578947368421,1.03305629893869,0
2001,"RITUALISM","60604",0,570,0,0.00300525468782166,0
2001,"ROBBERY","60604",19,570,33.3333333333333,6.9274877122649,0
2001,"SEX OFFENSE","60604",6,570,10.5263157894737,0.837339087394309,0
2001,"STALKING","60604",0,570,0,0.0762583377034745,0
2001,"THEFT","60604",721,570,1264.91228070175,37.2892001664911,0
2001,"TOTAL CRIME","60604",1510,570,2649.12280701754,182.466292312108,0
2001,"WEAPONS VIOLATION","60604",5,570,8.7719298245614,1.60555731696872,0
2001,"ARSON","60605",0,24668,0,0.379413404337484,0
2001,"ASSAULT","60605",149,24668,6.04021404248419,11.7896141403244,0
2001,"BATTERY","60605",368,24668,14.9181125344576,35.1040043516088,0
2001,"BURGLARY","60605",83,24668,3.36468299010864,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60605",0,24668,0,0,0
2001,"CRIM SEXUAL ASSAULT","60605",9,24668,0.364845143505756,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60605",235,24668,9.52651208042809,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60605",208,24668,8.43197664991082,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60605",208,24668,8.43197664991082,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60605",0,24668,0,0.000375656835977707,0
2001,"GAMBLING","60605",4,24668,0.16215339711367,0.350863484803178,0
2001,"HOMICIDE","60605",0,24668,0,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60605",0,24668,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60605",8,24668,0.324306794227339,0.152516675406949,0
2001,"INTIMIDATION","60605",2,24668,0.0810766985568348,0.10480825723778,0
2001,"KIDNAPPING","60605",0,24668,0,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60605",13,24668,0.526998540619426,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60605",213,24668,8.6346683963029,10.3489701743499,0
2001,"NARCOTICS","60605",153,24668,6.20236743959786,18.9958392248847,0
2001,"NON - CRIMINAL","60605",0,24668,0,0,0
2001,"NON-CRIMINAL","60605",0,24668,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60605",0,24668,0,0,0
2001,"OBSCENITY","60605",0,24668,0,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60605",4,24668,0.16215339711367,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60605",0,24668,0,0.00225394101586624,0
2001,"OTHER OFFENSE","60605",207,24668,8.3914383006324,11.1404791277549,0
2001,"PROSTITUTION","60605",4,24668,0.16215339711367,2.26370809360166,0
2001,"PUBLIC INDECENCY","60605",0,24668,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60605",17,24668,0.689151937733095,1.03305629893869,0
2001,"RITUALISM","60605",0,24668,0,0.00300525468782166,0
2001,"ROBBERY","60605",65,24668,2.63499270309713,6.9274877122649,0
2001,"SEX OFFENSE","60605",9,24668,0.364845143505756,0.837339087394309,0
2001,"STALKING","60605",4,24668,0.16215339711367,0.0762583377034745,0
2001,"THEFT","60605",1364,24668,55.2943084157613,37.2892001664911,0
2001,"TOTAL CRIME","60605",3349,24668,135.76293173342,182.466292312108,0
2001,"WEAPONS VIOLATION","60605",22,24668,0.891843684125182,1.60555731696872,0
2001,"ARSON","60606",1,2308,0.433275563258232,0.379413404337484,0
2001,"ASSAULT","60606",23,2308,9.96533795493934,11.7896141403244,0
2001,"BATTERY","60606",58,2308,25.1299826689775,35.1040043516088,0
2001,"BURGLARY","60606",46,2308,19.9306759098787,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60606",0,2308,0,0,0
2001,"CRIM SEXUAL ASSAULT","60606",2,2308,0.866551126516464,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60606",83,2308,35.9618717504333,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60606",15,2308,6.49913344887348,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60606",38,2308,16.4644714038128,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60606",0,2308,0,0.000375656835977707,0
2001,"GAMBLING","60606",0,2308,0,0.350863484803178,0
2001,"HOMICIDE","60606",1,2308,0.433275563258232,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60606",0,2308,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60606",0,2308,0,0.152516675406949,0
2001,"INTIMIDATION","60606",1,2308,0.433275563258232,0.10480825723778,0
2001,"KIDNAPPING","60606",0,2308,0,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60606",0,2308,0,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60606",48,2308,20.7972270363951,10.3489701743499,0
2001,"NARCOTICS","60606",4,2308,1.73310225303293,18.9958392248847,0
2001,"NON - CRIMINAL","60606",0,2308,0,0,0
2001,"NON-CRIMINAL","60606",0,2308,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60606",0,2308,0,0,0
2001,"OBSCENITY","60606",0,2308,0,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60606",0,2308,0,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60606",0,2308,0,0.00225394101586624,0
2001,"OTHER OFFENSE","60606",54,2308,23.3968804159445,11.1404791277549,0
2001,"PROSTITUTION","60606",0,2308,0,2.26370809360166,0
2001,"PUBLIC INDECENCY","60606",0,2308,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60606",3,2308,1.2998266897747,1.03305629893869,0
2001,"RITUALISM","60606",0,2308,0,0.00300525468782166,0
2001,"ROBBERY","60606",17,2308,7.36568457538995,6.9274877122649,0
2001,"SEX OFFENSE","60606",2,2308,0.866551126516464,0.837339087394309,0
2001,"STALKING","60606",0,2308,0,0.0762583377034745,0
2001,"THEFT","60606",528,2308,228.769497400347,37.2892001664911,0
2001,"TOTAL CRIME","60606",925,2308,400.779896013865,182.466292312108,0
2001,"WEAPONS VIOLATION","60606",1,2308,0.433275563258232,1.60555731696872,0
2001,"ARSON","60607",8,23897,0.334770054818596,0.379413404337484,0
2001,"ASSAULT","60607",306,23897,12.8049545968113,11.7896141403244,0
2001,"BATTERY","60607",950,23897,39.7539440097083,35.1040043516088,0
2001,"BURGLARY","60607",185,23897,7.74155751768004,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60607",0,23897,0,0,0
2001,"CRIM SEXUAL ASSAULT","60607",15,23897,0.627693852784868,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60607",473,23897,19.7932794911495,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60607",428,23897,17.9101979327949,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60607",157,23897,6.56986232581496,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60607",0,23897,0,0.000375656835977707,0
2001,"GAMBLING","60607",6,23897,0.251077541113947,0.350863484803178,0
2001,"HOMICIDE","60607",6,23897,0.251077541113947,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60607",0,23897,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60607",5,23897,0.209231284261623,0.152516675406949,0
2001,"INTIMIDATION","60607",1,23897,0.0418462568523246,0.10480825723778,0
2001,"KIDNAPPING","60607",9,23897,0.376616311670921,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60607",13,23897,0.544001339080219,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60607",247,23897,10.3360254425242,10.3489701743499,0
2001,"NARCOTICS","60607",657,23897,27.4929907519772,18.9958392248847,0
2001,"NON - CRIMINAL","60607",0,23897,0,0,0
2001,"NON-CRIMINAL","60607",0,23897,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60607",0,23897,0,0,0
2001,"OBSCENITY","60607",0,23897,0,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60607",14,23897,0.585847595932544,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60607",0,23897,0,0.00225394101586624,0
2001,"OTHER OFFENSE","60607",339,23897,14.185881072938,11.1404791277549,0
2001,"PROSTITUTION","60607",15,23897,0.627693852784868,2.26370809360166,0
2001,"PUBLIC INDECENCY","60607",0,23897,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60607",108,23897,4.51939574005105,1.03305629893869,0
2001,"RITUALISM","60607",0,23897,0,0.00300525468782166,0
2001,"ROBBERY","60607",186,23897,7.78340377453237,6.9274877122649,0
2001,"SEX OFFENSE","60607",16,23897,0.669540109637193,0.837339087394309,0
2001,"STALKING","60607",1,23897,0.0418462568523246,0.0762583377034745,0
2001,"THEFT","60607",1266,23897,52.9773611750429,37.2892001664911,0
2001,"TOTAL CRIME","60607",5463,23897,228.606101184249,182.466292312108,0
2001,"WEAPONS VIOLATION","60607",52,23897,2.17600535632088,1.60555731696872,0
2001,"ARSON","60608",41,82739,0.495534149554624,0.379413404337484,0
2001,"ASSAULT","60608",601,82739,7.2638054605446,11.7896141403244,0
2001,"BATTERY","60608",1454,82739,17.5733330110347,35.1040043516088,0
2001,"BURGLARY","60608",429,82739,5.18497927216911,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60608",0,82739,0,0,0
2001,"CRIM SEXUAL ASSAULT","60608",13,82739,0.157120584005125,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60608",1073,82739,12.9684912798076,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60608",180,82739,2.17551577853249,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60608",194,82739,2.34472256130724,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60608",0,82739,0,0.000375656835977707,0
2001,"GAMBLING","60608",2,82739,0.0241723975392499,0.350863484803178,0
2001,"HOMICIDE","60608",18,82739,0.217551577853249,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60608",0,82739,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60608",4,82739,0.0483447950784999,0.152516675406949,0
2001,"INTIMIDATION","60608",11,82739,0.132948186465875,0.10480825723778,0
2001,"KIDNAPPING","60608",20,82739,0.241723975392499,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60608",66,82739,0.797689118795248,0.614950240495506,0
2001,"MOTOR VEHICLE THEFT","60608",478,82739,5.77720301188073,10.3489701743499,0
2001,"NARCOTICS","60608",494,82739,5.97058219219473,18.9958392248847,0
2001,"NON - CRIMINAL","60608",0,82739,0,0,0
2001,"NON-CRIMINAL","60608",0,82739,0,0,0
2001,"NON-CRIMINAL (SUBJECT SPECIFIED)","60608",0,82739,0,0,0
2001,"OBSCENITY","60608",1,82739,0.012086198769625,0.00713747988357643,0
2001,"OFFENSE INVOLVING CHILDREN","60608",48,82739,0.580137540941998,0.840344342082131,0
2001,"OTHER NARCOTIC VIOLATION","60608",2,82739,0.0241723975392499,0.00225394101586624,0
2001,"OTHER OFFENSE","60608",380,82739,4.59275553245749,11.1404791277549,0
2001,"PROSTITUTION","60608",47,82739,0.568051342172373,2.26370809360166,0
2001,"PUBLIC INDECENCY","60608",0,82739,0,0.00338091152379936,0
2001,"PUBLIC PEACE VIOLATION","60608",50,82739,0.604309938481248,1.03305629893869,0
2001,"RITUALISM","60608",0,82739,0,0.00300525468782166,0
2001,"ROBBERY","60608",204,82739,2.46558454900349,6.9274877122649,0
2001,"SEX OFFENSE","60608",43,82739,0.519706547093874,0.837339087394309,0
2001,"STALKING","60608",6,82739,0.0725171926177498,0.0762583377034745,0
2001,"THEFT","60608",1529,82739,18.4797979187566,37.2892001664911,0
2001,"TOTAL CRIME","60608",7495,82739,90.5860597783391,182.466292312108,0
2001,"WEAPONS VIOLATION","60608",107,82739,1.29322326834987,1.60555731696872,0
2001,"ARSON","60609",46,64906,0.70871722182849,0.379413404337484,0
2001,"ASSAULT","60609",900,64906,13.8662065140357,11.7896141403244,0
2001,"BATTERY","60609",2812,64906,43.3241919082982,35.1040043516088,0
2001,"BURGLARY","60609",763,64906,11.7554617446769,9.77120996061614,0
2001,"CONCEALED CARRY LICENSE VIOLATION","60609",0,64906,0,0,0
2001,"CRIM SEXUAL ASSAULT","60609",49,64906,0.754937910208609,0.674304020579984,0
2001,"CRIMINAL DAMAGE","60609",1391,64906,21.4309925122485,20.9808099461909,0
2001,"CRIMINAL TRESPASS","60609",292,64906,4.49881366899824,4.97369650834484,0
2001,"DECEPTIVE PRACTICE","60609",213,64906,3.28166887498844,5.59465725821599,0
2001,"DOMESTIC VIOLENCE","60609",0,64906,0,0.000375656835977707,0
2001,"GAMBLING","60609",44,64906,0.677903429575078,0.350863484803178,0
2001,"HOMICIDE","60609",29,64906,0.446799987674483,0.250563109597131,0
2001,"HUMAN TRAFFICKING","60609",0,64906,0,0,0
2001,"INTERFERENCE WITH PUBLIC OFFICER","60609",13,64906,0.200289649647182,0.152516675406949,0
2001,"INTIMIDATION","60609",10,64906,0.154068961267063,0.10480825723778,0
2001,"KIDNAPPING","60609",22,64906,0.338951714787539,0.350487827967201,0
2001,"LIQUOR LAW VIOLATION","60609",36,64906,0.554648260561427,0.614950240495506,0
