"","Year","zipcode","PrimaryType","Count","SurpriseRatio"
"89",2001,"60605","CRIMINAL DAMAGE",235,1.02284678464876
"90",2001,"60605","CRIMINAL TRESPASS",208,3.81899443338655
"91",2001,"60605","DECEPTIVE PRACTICE",208,3.39511759202565
"92",2001,"60605","GAMBLING",4,1.0410864416496
"93",2001,"60605","INTERFERENCE WITH PUBLIC OFFICER",8,4.79002333251591
"94",2001,"60605","INTIMIDATION",2,1.74260705466081
"95",2001,"60605","LIQUOR LAW VIOLATION",13,1.93049352084751
"96",2001,"60605","MOTOR VEHICLE THEFT",213,1.87952211400283
"97",2001,"60605","NARCOTICS",153,0.735525810729387
"98",2001,"60605","OFFENSE INVOLVING CHILDREN",4,0.434678022575203
"99",2001,"60605","OTHER OFFENSE",207,1.69680309596415
"100",2001,"60605","PROSTITUTION",4,0.161363215483028
"101",2001,"60605","PUBLIC PEACE VIOLATION",17,1.50276095641022
"102",2001,"60605","ROBBERY",65,0.85684558690618
"103",2001,"60605","SEX OFFENSE",9,0.981535736710023
"104",2001,"60605","STALKING",4,4.79002333251591
"105",2001,"60605","THEFT",1364,3.34038307086908
"106",2001,"60605","WEAPONS VIOLATION",22,1.25130113494479
"107",2001,"60606","ARSON",1,2.57247070027627
"108",2001,"60606","ASSAULT",23,1.90410700890319
"109",2001,"60606","BATTERY",58,1.61262890860256
"110",2001,"60606","BURGLARY",46,4.59486327841434
"111",2001,"60606","CRIM SEXUAL ASSAULT",2,2.89492524487914
"112",2001,"60606","CRIMINAL DAMAGE",83,3.86117023516427
"113",2001,"60606","CRIMINAL TRESPASS",15,2.94357485718923
"114",2001,"60606","DECEPTIVE PRACTICE",38,6.62938464222139
"115",2001,"60606","HOMICIDE",1,3.89534543819944
"116",2001,"60606","INTIMIDATION",1,9.3125283415019
"117",2001,"60606","MOTOR VEHICLE THEFT",48,4.52696575372585
"118",2001,"60606","NARCOTICS",4,0.205524979316869
"119",2001,"60606","OTHER OFFENSE",54,4.73100053928607
"120",2001,"60606","PUBLIC PEACE VIOLATION",3,2.83439498975894
"121",2001,"60606","ROBBERY",17,2.3951695636757
"122",2001,"60606","SEX OFFENSE",2,2.33126550675552
"123",2001,"60606","THEFT",528,13.8201883365906
"124",2001,"60606","WEAPONS VIOLATION",1,0.607907208067157
"125",2001,"60607","ARSON",8,1.98761765116546
"126",2001,"60607","ASSAULT",306,2.44668107662024
"127",2001,"60607","BATTERY",950,2.55107057515658
"128",2001,"60607","BURGLARY",185,1.78475624793485
"129",2001,"60607","CRIM SEXUAL ASSAULT",15,2.09696430467665
"130",2001,"60607","CRIMINAL DAMAGE",473,2.12517363272653
"131",2001,"60607","CRIMINAL TRESPASS",428,8.11185194718471
"132",2001,"60607","DECEPTIVE PRACTICE",157,2.64534119171177
"133",2001,"60607","GAMBLING",6,1.61201324492274
"134",2001,"60607","HOMICIDE",6,2.25730190518416
"135",2001,"60607","INTERFERENCE WITH PUBLIC OFFICER",5,3.09035379876403
"136",2001,"60607","INTIMIDATION",1,0.899414797346377
"137",2001,"60607","KIDNAPPING",9,2.42061152854958
