Year,zipcode,PrimaryType,Count,SurpriseRatio
2003,60603,PUBLIC PEACE VIOLATION,23,115.1283441
2009,60602,DECEPTIVE PRACTICE,318,115.0369586
2004,60603,INTERFERENCE WITH PUBLIC OFFICER,5,114.5344617
2004,60602,INTIMIDATION,8,114.1683405
2016,60603,PUBLIC PEACE VIOLATION,15,113.6781293
2016,60603,ROBBERY,110,111.9096338
2010,60661,PUBLIC INDECENCY,1,109.9412401
2016,60602,DECEPTIVE PRACTICE,393,108.7369249
2013,60601,PUBLIC INDECENCY,2,107.950225
2015,60603,ARSON,4,107.8807968
2007,60603,INTERFERENCE WITH PUBLIC OFFICER,6,107.8011212
2014,60602,THEFT,1297,104.9713227
2008,60603,PUBLIC PEACE VIOLATION,26,104.9626803
2015,60602,DECEPTIVE PRACTICE,326,104.3559095
2014,60603,SEX OFFENSE,8,102.1075327
2006,60603,SEX OFFENSE,13,101.298064
2013,60654,NON-CRIMINAL,1,100.7837815
2014,60603,PUBLIC PEACE VIOLATION,24,100.559916
2009,60603,PUBLIC PEACE VIOLATION,26,100.4933447
2006,60602,DECEPTIVE PRACTICE,269,98.81110308
2009,60603,SEX OFFENSE,10,97.69927581
2013,60602,STALKING,3,97.65870302
2006,60604,DECEPTIVE PRACTICE,125,96.98735416
2006,60603,INTERFERENCE WITH PUBLIC OFFICER,6,96.28147629
2012,60602,STALKING,4,96.24335949
2001,60602,THEFT,1880,94.32942905
2013,60602,THEFT,1348,93.87098396
2011,60602,DECEPTIVE PRACTICE,236,93.71124528
2008,60603,INTIMIDATION,2,93.20735508
2016,60609,NON-CRIMINAL (SUBJECT SPECIFIED),1,92.38953255
2014,60603,LIQUOR LAW VIOLATION,3,91.9160693
2013,60603,INTIMIDATION,1,90.77283461
2016,60603,SEX OFFENSE,7,90.77283461
2014,60604,INTIMIDATION,1,90.69320932
2011,60603,PUBLIC PEACE VIOLATION,23,90.39155938
2010,60603,ROBBERY,106,90.33401127
2012,60601,NON-CRIMINAL,1,89.95852085
2001,60603,INTERFERENCE WITH PUBLIC OFFICER,3,89.87852097
2006,60603,INTIMIDATION,2,88.14173795
2002,60602,THEFT,1716,86.9211819
2007,60602,DECEPTIVE PRACTICE,245,86.41965256
2012,60603,CRIM SEXUAL ASSAULT,10,86.3889193
2013,60602,CRIMINAL TRESPASS,141,86.32621185
2009,60602,INTIMIDATION,4,86.24404942
2004,60604,DECEPTIVE PRACTICE,108,85.84847195
2015,60603,PUBLIC PEACE VIOLATION,17,85.41120084
2015,60603,ROBBERY,67,84.54803498
2002,60604,DECEPTIVE PRACTICE,110,84.40885127
2014,60604,DECEPTIVE PRACTICE,123,84.11952873
2002,60621,RITUALISM,1,83.49068556
2001,60604,DECEPTIVE PRACTICE,118,83.35517687
2015,60602,CRIMINAL TRESPASS,106,82.47819849
2003,60603,SEX OFFENSE,14,82.34518265
2005,60604,DECEPTIVE PRACTICE,106,82.28168684
2005,60602,THEFT,1415,82.24940542
2007,60602,THEFT,1401,81.94151897
2007,60604,DECEPTIVE PRACTICE,109,81.21281435
2004,60603,SEX OFFENSE,12,81.00039848
2011,60602,THEFT,1221,80.9276079
2005,60604,PUBLIC PEACE VIOLATION,21,80.92624831
2004,60602,THEFT,1546,80.65950261
2003,60604,DECEPTIVE PRACTICE,102,79.81865908
2016,60604,INTIMIDATION,1,79.70009304
2009,60602,THEFT,1293,79.53252795
2010,60602,STALKING,3,79.0570453
2008,60603,CRIMINAL TRESPASS,80,79.04831739
2015,60603,STALKING,1,78.98415479
2012,60659,NON-CRIMINAL (SUBJECT SPECIFIED),1,78.6877362
2005,60624,PUBLIC INDECENCY,2,78.68567117
2012,60602,THEFT,1190,78.54681058
2006,60602,THEFT,1341,77.44818245
2002,60603,LIQUOR LAW VIOLATION,9,77.42011212
2009,60602,CRIMINAL TRESPASS,168,77.1117655
2007,60604,CRIMINAL TRESPASS,100,76.79693613
2001,60604,THEFT,721,76.41458388
2001,60603,SEX OFFENSE,14,76.39741486
2006,60604,INTIMIDATION,2,76.2348716
2003,60602,THEFT,1500,75.55894595
2014,60604,STALKING,1,75.14580201
2008,60602,THEFT,1327,74.73988515
2012,60602,CRIMINAL TRESPASS,123,74.57249471
2013,60602,INTIMIDATION,2,74.3372217
2002,60636,RITUALISM,1,73.27982941
2004,60603,PUBLIC PEACE VIOLATION,15,73.12761425
2011,60604,DECEPTIVE PRACTICE,87,72.97104906
2010,60602,THEFT,1124,72.94150402
2007,60603,LIQUOR LAW VIOLATION,7,72.77343493
2014,60608,NON-CRIMINAL (SUBJECT SPECIFIED),1,72.47652256
2002,60603,INTIMIDATION,2,72.18729874
2016,60604,PUBLIC PEACE VIOLATION,11,72.10251407
