Year,zipcode,PrimaryType,Count,SurpriseRatio
2002,60621,HOMICIDE,37,9.40382151
2003,60644,GAMBLING,83,9.403549648
2002,60604,CRIMINAL DAMAGE,50,9.403300215
2009,60612,GAMBLING,52,9.40060147
2016,60621,WEAPONS VIOLATION,194,9.40057632
2014,60624,WEAPONS VIOLATION,186,9.399829697
2013,60619,PUBLIC INDECENCY,1,9.395432824
2014,60619,OTHER NARCOTIC VIOLATION,1,9.395432824
2015,60602,MOTOR VEHICLE THEFT,19,9.394548121
2014,60626,DECEPTIVE PRACTICE,1208,9.39199476
2012,60604,CRIMINAL DAMAGE,32,9.389557455
2016,60604,OFFENSE INVOLVING CHILDREN,2,9.380661864
2010,60632,PUBLIC INDECENCY,1,9.380265673
2004,60602,INTERFERENCE WITH PUBLIC OFFICER,1,9.379649442
2013,60651,PROSTITUTION,166,9.376000739
2004,60621,KIDNAPPING,27,9.373174679
2009,60626,OFFENSE INVOLVING CHILDREN,200,9.373057321
2007,60636,WEAPONS VIOLATION,227,9.361013661
2005,60604,MOTOR VEHICLE THEFT,20,9.352724613
2006,60610,OBSCENITY,1,9.350136121
2003,60636,INTERFERENCE WITH PUBLIC OFFICER,26,9.339586101
2015,60637,HUMAN TRAFFICKING,1,9.318215368
2002,60622,PROSTITUTION,523,9.313879391
2001,60606,INTIMIDATION,1,9.312528342
2016,60644,HOMICIDE,59,9.312013622
2012,60636,HOMICIDE,32,9.305375163
2001,60641,PUBLIC INDECENCY,1,9.297584217
2006,60641,OTHER NARCOTIC VIOLATION,1,9.297584217
2016,60621,INTERFERENCE WITH PUBLIC OFFICER,52,9.296607386
2006,60629,OBSCENITY,3,9.289561658
2016,60621,CONCEALED CARRY LICENSE VIOLATION,2,9.276742841
2009,60644,PROSTITUTION,296,9.260578426
2012,60624,PUBLIC INDECENCY,1,9.257137785
2014,60621,ARSON,22,9.25337573
2005,60612,CRIMINAL TRESPASS,859,9.240053359
2009,60609,PUBLIC INDECENCY,1,9.238953255
2004,60626,CRIM SEXUAL ASSAULT,121,9.235242872
2014,60624,PUBLIC PEACE VIOLATION,170,9.215683155
2005,60636,WEAPONS VIOLATION,258,9.209057958
2001,60637,GAMBLING,71,9.208471933
2008,60624,HOMICIDE,30,9.203002476
2002,60626,OBSCENITY,2,9.200016262
2004,60626,OBSCENITY,1,9.200016262
2015,60626,HUMAN TRAFFICKING,1,9.200016262
2004,60624,INTERFERENCE WITH PUBLIC OFFICER,31,9.187404167
2009,60654,LIQUOR LAW VIOLATION,17,9.186725393
2007,60603,MOTOR VEHICLE THEFT,14,9.16867699
2012,60602,CRIMINAL DAMAGE,66,9.168271165
2013,60654,CRIMINAL TRESPASS,185,9.167793278
2008,60636,GAMBLING,75,9.167618358
2008,60661,DECEPTIVE PRACTICE,177,9.167319233
2003,60636,OBSCENITY,1,9.159978676
2005,60621,GAMBLING,59,9.139054635
2013,60649,BURGLARY,1271,9.13048999
2015,60626,HOMICIDE,38,9.12612055
2014,60640,OTHER NARCOTIC VIOLATION,1,9.114812282
2009,60621,PROSTITUTION,215,9.111927612
2003,60602,BURGLARY,46,9.107462127
2012,60624,INTERFERENCE WITH PUBLIC OFFICER,71,9.098831683
2006,60626,CRIM SEXUAL ASSAULT,111,9.092892785
2011,60636,INTERFERENCE WITH PUBLIC OFFICER,65,9.090055174
2009,60657,PUBLIC INDECENCY,1,9.086361295
2011,60637,OBSCENITY,3,9.085259984
2011,60604,OFFENSE INVOLVING CHILDREN,2,9.069320932
2012,60606,LIQUOR LAW VIOLATION,2,9.068744877
2010,60602,NARCOTICS,79,9.06752044
2009,60661,DECEPTIVE PRACTICE,162,9.0552997
2007,60661,INTIMIDATION,3,9.053984479
2015,60621,HOMICIDE,27,9.053206868
2013,60644,INTERFERENCE WITH PUBLIC OFFICER,94,9.045266119
2008,60654,CRIMINAL TRESPASS,276,9.038610462
2015,60626,SEX OFFENSE,72,9.035902646
2006,60621,CRIM SEXUAL ASSAULT,79,9.035293369
2005,60624,HOMICIDE,26,9.032350775
2007,60644,PROSTITUTION,446,9.031797292
2015,60606,DECEPTIVE PRACTICE,54,9.017453049
2010,60621,WEAPONS VIOLATION,200,9.016272739
2001,60653,GAMBLING,42,9.016181744
2007,60654,PROSTITUTION,136,9.007126194
2009,60614,PUBLIC INDECENCY,1,9.001658736
2014,60614,OTHER NARCOTIC VIOLATION,1,9.001658736
2014,60614,PUBLIC INDECENCY,1,9.001658736
2016,60624,ROBBERY,683,8.990015626
2002,60637,GAMBLING,72,8.982337369
2010,60606,DECEPTIVE PRACTICE,43,8.975128737
2005,60624,WEAPONS VIOLATION,234,8.968556773
2015,60612,NON - CRIMINAL,1,8.957688516
2014,60604,OFFENSE INVOLVING CHILDREN,2,8.957354007
2002,60661,THEFT,1144,8.953893139
2015,60644,INTERFERENCE WITH PUBLIC OFFICER,95,8.952791824
2010,60615,OBSCENITY,2,8.950876148
2011,60601,STALKING,3,8.946151245
2012,60602,BURGLARY,41,8.939080196
2001,60654,INTERFERENCE WITH PUBLIC OFFICER,9,8.936492942
2004,60636,WEAPONS VIOLATION,262,8.936148617
2014,60621,PROSTITUTION,87,8.934427607
2002,60603,NARCOTICS,38,8.924970048
2002,60636,HOMICIDE,40,8.922962485
2008,60606,DECEPTIVE PRACTICE,51,8.917690677
2016,60624,OBSCENITY,3,8.907811831
2002,60606,DECEPTIVE PRACTICE,47,8.907015619
2002,60636,GAMBLING,59,8.905272781
2012,60637,HOMICIDE,37,8.89297935
2005,60603,WEAPONS VIOLATION,3,8.887160135
2015,60613,PUBLIC INDECENCY,1,8.871627999
2004,60626,OFFENSE INVOLVING CHILDREN,228,8.870802928
2006,60621,KIDNAPPING,18,8.866267494
2005,60661,DECEPTIVE PRACTICE,156,8.85824793
2002,60653,NARCOTICS,2288,8.858062457
2004,60636,ARSON,47,8.853861137
2015,60661,DECEPTIVE PRACTICE,179,8.853806404
2015,60616,PUBLIC INDECENCY,1,8.843785672
2010,60636,INTERFERENCE WITH PUBLIC OFFICER,48,8.837768371
2016,60610,CONCEALED CARRY LICENSE VIOLATION,2,8.830684114
2010,60602,CRIMINAL DAMAGE,72,8.82106505
2015,60644,PUBLIC INDECENCY,1,8.804700531
2009,60609,OBSCENITY,2,8.7990031
2013,60628,PROSTITUTION,175,8.79804934
2003,60637,GAMBLING,79,8.795778661
2001,60621,OBSCENITY,1,8.788493217
2012,60624,ROBBERY,753,8.787587748
2004,60622,OBSCENITY,1,8.778252557
2001,60629,OTHER NARCOTIC VIOLATION,1,8.7734749
2013,60655,OBSCENITY,1,8.751656451
2006,60636,WEAPONS VIOLATION,228,8.745250513
2016,60624,CONCEALED CARRY LICENSE VIOLATION,2,8.742852352
2015,60649,BURGLARY,896,8.738071958
2002,60612,CRIMINAL TRESPASS,676,8.725356537
2015,60653,OBSCENITY,2,8.717509057
2003,60653,NARCOTICS,2360,8.716224425
2002,60604,BATTERY,78,8.71561048
2013,60602,MOTOR VEHICLE THEFT,22,8.710100539
2008,60602,MOTOR VEHICLE THEFT,33,8.705026067
2014,60661,DECEPTIVE PRACTICE,174,8.704962
2010,60624,INTERFERENCE WITH PUBLIC OFFICER,44,8.698918421
2012,60602,LIQUOR LAW VIOLATION,1,8.692135871
2013,60621,GAMBLING,31,8.685272659
2011,60604,MOTOR VEHICLE THEFT,16,8.68244682
2011,60603,BURGLARY,19,8.682055559
2009,60606,DECEPTIVE PRACTICE,46,8.680780704
2014,60605,CRIMINAL TRESPASS,269,8.67500677
2006,60602,MOTOR VEHICLE THEFT,38,8.674606584
2014,60624,ROBBERY,540,8.671482129
2007,60621,ROBBERY,802,8.667900301
2007,60661,DECEPTIVE PRACTICE,159,8.666048175
2012,60621,PUBLIC PEACE VIOLATION,156,8.662818057
2008,60621,ROBBERY,866,8.65747874
2004,60612,NARCOTICS,2757,8.656273129
2009,60621,ROBBERY,828,8.652642549
2016,60636,HOMICIDE,46,8.632195013
2016,60636,INTERFERENCE WITH PUBLIC OFFICER,55,8.630386761
2006,60652,OBSCENITY,1,8.612105649
2014,60611,PROSTITUTION,67,8.604144304
2003,60624,HOMICIDE,33,8.598103141
2011,60602,OFFENSE INVOLVING CHILDREN,4,8.587230782
2005,60649,GAMBLING,72,8.585581254
2010,60624,WEAPONS VIOLATION,202,8.582346424
2006,60624,HOMICIDE,26,8.577892874
2010,60636,NARCOTICS,2539,8.575460874
2014,60649,CONCEALED CARRY LICENSE VIOLATION,1,8.569682029
2013,60612,PROSTITUTION,79,8.567280784
2012,60604,INTERFERENCE WITH PUBLIC OFFICER,1,8.567110978
2006,60624,WEAPONS VIOLATION,208,8.566668204
2008,60606,CRIM SEXUAL ASSAULT,5,8.557955887
2016,60624,BATTERY,2733,8.555716702
2007,60651,GAMBLING,129,8.542761958
2007,60619,OBSCENITY,1,8.541302567
2001,60603,WEAPONS VIOLATION,3,8.537828618
2015,60636,NARCOTICS,1388,8.533993642
2016,60612,GAMBLING,9,8.53113192
2015,60611,PROSTITUTION,54,8.52934593
2008,60630,OBSCENITY,1,8.5275288
2016,60651,PROSTITUTION,73,8.514368863
2006,60661,DECEPTIVE PRACTICE,150,8.513776982
2006,60636,INTERFERENCE WITH PUBLIC OFFICER,44,8.507420828
2005,60621,WEAPONS VIOLATION,209,8.499538862
2010,60654,CRIMINAL TRESPASS,198,8.490666414
2016,60636,ARSON,30,8.488011128
2012,60646,OBSCENITY,1,8.486580847
2016,60651,HUMAN TRAFFICKING,1,8.482559266
2014,60602,OFFENSE INVOLVING CHILDREN,4,8.481215588
2009,60624,WEAPONS VIOLATION,224,8.477917433
2006,60624,STALKING,10,8.460824857
2005,60603,OFFENSE INVOLVING CHILDREN,2,8.4557246
2016,60654,CRIM SEXUAL ASSAULT,31,8.455472874
2003,60653,PROSTITUTION,262,8.453767231
2007,60649,STALKING,14,8.448982282
2014,60606,DECEPTIVE PRACTICE,50,8.445021801
2002,60626,SEX OFFENSE,153,8.444315803
2013,60636,KIDNAPPING,14,8.443766351
2011,60621,ROBBERY,707,8.443415061
2003,60621,GAMBLING,55,8.441153871
2013,60624,WEAPONS VIOLATION,174,8.435802085
2004,60612,INTERFERENCE WITH PUBLIC OFFICER,25,8.434734949
2011,60636,ARSON,29,8.432996241
2012,60636,PUBLIC PEACE VIOLATION,173,8.431932482
2010,60661,CRIMINAL TRESPASS,103,8.43183003
2004,60606,MOTOR VEHICLE THEFT,74,8.4308906
2011,60624,ARSON,27,8.430607626
2003,60644,WEAPONS VIOLATION,288,8.430432805
2003,60612,CRIMINAL TRESPASS,696,8.421086252
2002,60661,DECEPTIVE PRACTICE,150,8.420007447
2013,60636,PUBLIC PEACE VIOLATION,180,8.41490864
2003,60661,DECEPTIVE PRACTICE,147,8.414871769
2005,60602,MOTOR VEHICLE THEFT,38,8.412791325
2014,60644,HOMICIDE,29,8.411078625
2005,60607,CRIMINAL TRESPASS,558,8.407246742
2009,60637,INTIMIDATION,16,8.390427691
2012,60624,ARSON,25,8.388664304
2001,60616,CRIMINAL TRESPASS,897,8.388237195
2015,60649,OBSCENITY,3,8.383384594
2001,60653,BATTERY,3906,8.380831687
2014,60651,PROSTITUTION,146,8.378222744
2012,60616,STALKING,14,8.373826046
2016,60619,KIDNAPPING,18,8.372167863
2013,60604,MOTOR VEHICLE THEFT,10,8.362807854
2015,60604,MOTOR VEHICLE THEFT,8,8.355335873
2013,60653,OBSCENITY,1,8.354279513
2006,60649,HOMICIDE,31,8.354092544
2012,60656,OBSCENITY,1,8.352580585
2009,60621,HOMICIDE,23,8.349068556
2015,60649,STALKING,10,8.347092886
2002,60626,PROSTITUTION,447,8.342898643
2013,60654,DECEPTIVE PRACTICE,280,8.34216505
2013,60636,HOMICIDE,24,8.335146473
2009,60633,STALKING,3,8.333254586
2006,60603,CRIM SEXUAL ASSAULT,1,8.331205368
2014,60636,PUBLIC PEACE VIOLATION,165,8.330121841
2003,60649,STALKING,16,8.326816547
2013,60661,CRIMINAL TRESPASS,88,8.32499126
2008,60621,BATTERY,3785,8.324545786
2013,60611,DECEPTIVE PRACTICE,539,8.317873193
2004,60621,WEAPONS VIOLATION,214,8.316037566
2011,60621,CRIM SEXUAL ASSAULT,73,8.314897744
2015,60628,KIDNAPPING,19,8.305358577
2009,60620,PUBLIC INDECENCY,1,8.303748477
2016,60620,PUBLIC INDECENCY,1,8.303748477
2010,60606,KIDNAPPING,1,8.300943793
2007,60621,GAMBLING,70,8.295738807
2010,60604,MOTOR VEHICLE THEFT,15,8.293366839
2013,60626,OFFENSE INVOLVING CHILDREN,161,8.292693384
2002,60639,PUBLIC INDECENCY,1,8.291165231
2010,60603,BURGLARY,18,8.286430894
2014,60613,CONCEALED CARRY LICENSE VIOLATION,1,8.280186133
2001,60661,INTIMIDATION,3,8.275147104
2006,60661,STALKING,2,8.275147104
2013,60656,OTHER OFFENSE,685,8.270847338
2003,60616,CRIMINAL TRESPASS,989,8.269808632
2001,60621,HOMICIDE,33,8.261447147
2002,60644,HOMICIDE,44,8.255244333
2007,60621,BATTERY,3933,8.251406976
2008,60651,GAMBLING,106,8.249094332
2009,60602,NARCOTICS,72,8.235600613
2013,60604,BURGLARY,14,8.231014414
2007,60636,CRIM SEXUAL ASSAULT,86,8.227239333
2008,60621,WEAPONS VIOLATION,191,8.226319805
2012,60605,STALKING,7,8.220559367
2011,60621,WEAPONS VIOLATION,191,8.219959249
2007,60644,KIDNAPPING,22,8.217720496
2015,60644,NON-CRIMINAL,1,8.217720496
2012,60649,BURGLARY,1460,8.215550536
2014,60621,ROBBERY,482,8.212757233
2003,60632,OBSCENITY,2,8.207732464
2014,60602,BURGLARY,24,8.204698503
2003,60621,CRIM SEXUAL ASSAULT,78,8.201855761
2013,60612,STALKING,7,8.196577727
2008,60636,ARSON,36,8.192775959
2011,60649,BURGLARY,1695,8.185287411
2002,60604,OFFENSE INVOLVING CHILDREN,2,8.183906869
2016,60644,INTERFERENCE WITH PUBLIC OFFICER,62,8.182526832
2009,60603,BURGLARY,18,8.179932641
2003,60636,WEAPONS VIOLATION,235,8.178940827
2007,60636,HOMICIDE,25,8.178552389
2006,60621,GAMBLING,67,8.178181188
2011,60621,KIDNAPPING,13,8.160743702
2010,60651,GAMBLING,81,8.153139489
2002,60602,WEAPONS VIOLATION,7,8.143928282
2001,60618,RITUALISM,1,8.140169573
2013,60637,GAMBLING,40,8.129986563
2011,60624,ROBBERY,722,8.126313058
2003,60606,DECEPTIVE PRACTICE,42,8.11694489
2012,60603,MOTOR VEHICLE THEFT,11,8.112973455
2001,60607,CRIMINAL TRESPASS,428,8.111851947
2004,60602,BURGLARY,40,8.110395463
2004,60603,NARCOTICS,38,8.100513036
2003,60649,CRIM SEXUAL ASSAULT,100,8.094787811
2004,60624,WEAPONS VIOLATION,221,8.093801875
2011,60636,NARCOTICS,2132,8.093695089
2009,60636,ARSON,34,8.089331818
2005,60636,HOMICIDE,25,8.088281391
2012,60624,DECEPTIVE PRACTICE,693,8.086182268
2007,60624,HOMICIDE,23,8.079332308
2014,60637,CONCEALED CARRY LICENSE VIOLATION,1,8.075786653
2010,60651,PROSTITUTION,215,8.072938698
2010,60621,ROBBERY,690,8.072384648
2009,60621,WEAPONS VIOLATION,201,8.071971043
2001,60621,BATTERY,4511,8.060750641
2009,60621,CRIM SEXUAL ASSAULT,68,8.058717698
2012,60661,LIQUOR LAW VIOLATION,6,8.058520217
2015,60604,INTERFERENCE WITH PUBLIC OFFICER,1,8.043128655
2003,60621,ARSON,46,8.043081751
2009,60602,MOTOR VEHICLE THEFT,25,8.042555635
2005,60651,INTERFERENCE WITH PUBLIC OFFICER,53,8.041190329
2015,60624,BATTERY,2499,8.041035915
2006,60621,WEAPONS VIOLATION,184,8.040976783
2002,60621,BATTERY,4533,8.039410266
2013,60605,CRIMINAL TRESPASS,269,8.038377508
2003,60649,OBSCENITY,1,8.034076902
2004,60621,BATTERY,4185,8.020027064
2007,60624,WEAPONS VIOLATION,181,8.014691324
2007,60602,BURGLARY,40,8.014472369
2004,60610,CRIMINAL TRESPASS,802,8.011044798
2009,60651,PROSTITUTION,338,8.004607957
2014,60621,INTERFERENCE WITH PUBLIC OFFICER,67,8.002683738
2014,60604,CRIM SEXUAL ASSAULT,1,8.000313521
2004,60602,PROSTITUTION,12,7.994532671
2004,60621,CRIM SEXUAL ASSAULT,75,7.992088599
2012,60661,DECEPTIVE PRACTICE,140,7.98861239
2014,60615,OBSCENITY,2,7.983213862
2014,60624,BATTERY,2508,7.982189188
2016,60644,WEAPONS VIOLATION,223,7.976864497
2004,60633,INTIMIDATION,6,7.975091782
2002,60612,INTIMIDATION,15,7.974203427
2015,60626,NON-CRIMINAL,1,7.973347427
2011,60654,DECEPTIVE PRACTICE,248,7.970781413
2006,60621,BATTERY,3850,7.969730104
2003,60621,BATTERY,4217,7.967779058
2016,60621,GAMBLING,9,7.951493863
2005,60603,PROSTITUTION,4,7.9448464
2011,60624,BATTERY,3048,7.933902072
2006,60626,OFFENSE INVOLVING CHILDREN,182,7.929777223
2012,60636,NARCOTICS,1920,7.929510664
2016,60602,NARCOTICS,21,7.927275347
2005,60637,CRIMINAL TRESPASS,1089,7.920622934
2004,60617,OTHER NARCOTIC VIOLATION,1,7.917447303
2012,60621,ROBBERY,639,7.912576652
2002,60621,GAMBLING,46,7.910548993
2009,60620,OBSCENITY,2,7.908331883
2002,60611,DECEPTIVE PRACTICE,519,7.904662413
2013,60624,BATTERY,2711,7.900185343
2008,60621,ASSAULT,1203,7.893998879
2008,60637,CRIMINAL TRESPASS,802,7.892096948
2007,60637,INTERFERENCE WITH PUBLIC OFFICER,44,7.872997328
2007,60637,CRIMINAL TRESPASS,890,7.870045391
2015,60624,NON - CRIMINAL,1,7.868567117
2009,60603,MOTOR VEHICLE THEFT,10,7.856581732
2007,60621,CRIM SEXUAL ASSAULT,72,7.84768846
2013,60604,CRIMINAL DAMAGE,23,7.842656547
2005,60654,CRIMINAL TRESPASS,324,7.842436556
2005,60612,NARCOTICS,2461,7.840406671
2009,60636,GAMBLING,53,7.838205769
2006,60636,CRIM SEXUAL ASSAULT,78,7.82989958
2012,60644,INTERFERENCE WITH PUBLIC OFFICER,78,7.829587117
2010,60604,CRIM SEXUAL ASSAULT,1,7.821867867
2007,60653,CRIMINAL TRESPASS,534,7.815785549
2013,60612,GAMBLING,26,7.815432933
2014,60603,WEAPONS VIOLATION,2,7.81217716
2005,60602,BURGLARY,40,7.811470913
2004,60653,CRIM SEXUAL ASSAULT,61,7.805146909
2016,60654,THEFT,1190,7.802657645
2007,60649,ROBBERY,937,7.795914623
2016,60606,DECEPTIVE PRACTICE,54,7.794153213
2006,60633,HOMICIDE,8,7.780033632
2012,60624,BATTERY,2922,7.776352668
2003,60621,INTERFERENCE WITH PUBLIC OFFICER,19,7.776093263
2013,60621,CRIM SEXUAL ASSAULT,59,7.775770242
2007,60651,OTHER NARCOTIC VIOLATION,1,7.775679327
2008,60649,HOMICIDE,31,7.767840436
2003,60636,HOMICIDE,32,7.764750136
2004,60603,CRIM SEXUAL ASSAULT,1,7.762322806
2002,60621,CRIM SEXUAL ASSAULT,85,7.760205875
2015,60654,CRIMINAL TRESPASS,123,7.746542806
2009,60644,INTERFERENCE WITH PUBLIC OFFICER,36,7.744448635
2011,60622,LIQUOR LAW VIOLATION,42,7.743014372
2003,60616,OBSCENITY,1,7.738312463
2016,60616,NON-CRIMINAL,3,7.738312463
2005,60621,ARSON,32,7.73285655
2010,60602,BURGLARY,41,7.728572705
2015,60624,ASSAULT,836,7.720347527
2001,60649,KIDNAPPING,56,7.715469351
2002,60636,INTERFERENCE WITH PUBLIC OFFICER,19,7.713666253
2015,60606,CRIMINAL TRESPASS,19,7.712187586
2012,60636,CRIM SEXUAL ASSAULT,74,7.702709341
2006,60621,HOMICIDE,22,7.701446886
2013,60621,ROBBERY,545,7.699225657
2004,60626,SEX OFFENSE,116,7.699014719
2002,60661,STALKING,2,7.695886807
2005,60626,SEX OFFENSE,116,7.694744606
2003,60626,OFFENSE INVOLVING CHILDREN,195,7.694503868
2004,60649,OFFENSE INVOLVING CHILDREN,184,7.694314379
2006,60649,OFFENSE INVOLVING CHILDREN,164,7.679933622
2010,60621,ARSON,24,7.67730442
2007,60606,INTERFERENCE WITH PUBLIC OFFICER,2,7.675614202
2001,60636,CRIM SEXUAL ASSAULT,94,7.674990489
2010,60624,ROBBERY,696,7.673961625
2005,60606,DECEPTIVE PRACTICE,40,7.668251774
2003,60602,MOTOR VEHICLE THEFT,35,7.663125764
2004,60644,INTERFERENCE WITH PUBLIC OFFICER,33,7.660586903
2014,60661,CRIMINAL TRESPASS,75,7.65709088
2012,60604,MOTOR VEHICLE THEFT,12,7.654920408
2002,60639,OBSCENITY,3,7.65338329
2016,60626,THEFT,3933,7.6506942
2002,60621,ASSAULT,1444,7.6495384
2003,60633,INTIMIDATION,6,7.64644789
2013,60624,ROBBERY,574,7.642229315
2005,60637,GAMBLING,68,7.641282362
2015,60626,DECEPTIVE PRACTICE,994,7.640761626
2005,60621,BATTERY,3840,7.636706983
2004,60644,WEAPONS VIOLATION,266,7.630603858
2010,60649,HOMICIDE,26,7.630538793
2009,60636,PROSTITUTION,205,7.625566004
2003,60621,ASSAULT,1346,7.62482361
2013,60625,PUBLIC INDECENCY,1,7.624359512
2014,60625,PUBLIC INDECENCY,1,7.624359512
2007,60621,BURGLARY,1135,7.624260046
2015,60610,LIQUOR LAW VIOLATION,14,7.621001359
2008,60612,GAMBLING,51,7.62038556
2016,60661,KIDNAPPING,2,7.619689908
2004,60661,DECEPTIVE PRACTICE,131,7.617387017
2010,60624,BATTERY,3165,7.615790256
2007,60621,ASSAULT,1200,7.614868335
2008,60636,NARCOTICS,2412,7.601047091
2015,60654,THEFT,1080,7.597032562
2010,60617,INTIMIDATION,21,7.5959266
2012,60621,CRIM SEXUAL ASSAULT,64,7.590062324
2010,60644,PROSTITUTION,153,7.589403838
2014,60656,OTHER OFFENSE,593,7.589138279
2002,60602,HOMICIDE,1,7.580812563
2004,60624,PROSTITUTION,360,7.57807427
2012,60632,OBSCENITY,3,7.576368428
2011,60601,PROSTITUTION,34,7.570766606
2010,60612,PROSTITUTION,105,7.569877619
2003,60636,CRIM SEXUAL ASSAULT,82,7.56794208
2007,60621,WEAPONS VIOLATION,161,7.564434652
2008,60624,ROBBERY,802,7.556236398
2001,60624,ROBBERY,885,7.552390758
2012,60621,BATTERY,2674,7.550913811
2002,60636,BATTERY,4847,7.544976913
2004,60661,CRIMINAL TRESPASS,156,7.544512926
2011,60612,PROSTITUTION,102,7.538648751
2010,60621,BATTERY,2951,7.534472351
2009,60651,GAMBLING,80,7.532444152
2004,60621,ASSAULT,1300,7.524290553
2003,60636,ARSON,49,7.519814955
2013,60602,BURGLARY,27,7.515146644
2001,60653,HOMICIDE,25,7.515094014
2012,60633,SEX OFFENSE,17,7.510511038
2009,60624,PROSTITUTION,188,7.509089432
2013,60621,BATTERY,2428,7.507560119
2011,60624,WEAPONS VIOLATION,185,7.503530498
2003,60643,OBSCENITY,1,7.502996627
2002,60636,WEAPONS VIOLATION,219,7.497445756
2006,60636,BATTERY,4126,7.496499749
2003,60621,WEAPONS VIOLATION,189,7.494533162
2009,60624,OBSCENITY,1,7.493873445
2012,60624,HOMICIDE,24,7.493873445
2007,60636,BATTERY,4069,7.49269706
2014,60612,PROSTITUTION,68,7.492285597
2011,60661,DECEPTIVE PRACTICE,122,7.485435625
2014,60603,PROSTITUTION,1,7.480664107
2012,60621,INTERFERENCE WITH PUBLIC OFFICER,55,7.478807339
2012,60621,ARSON,21,7.476777812
2010,60644,OBSCENITY,2,7.470654996
2009,60604,CRIM SEXUAL ASSAULT,1,7.466580753
2006,60637,CRIMINAL TRESPASS,894,7.466135747
2008,60653,CRIMINAL TRESPASS,458,7.459808319
2007,60636,BURGLARY,1265,7.458281776
2010,60619,STALKING,15,7.456692718
2008,60624,STALKING,9,7.454432006
2016,60601,THEFT,848,7.444479842
2001,60610,CRIMINAL TRESPASS,620,7.443386308
2001,60621,ARSON,45,7.43976406
2012,60636,CRIMINAL TRESPASS,417,7.439486029
2008,60644,INTERFERENCE WITH PUBLIC OFFICER,35,7.438453897
2009,60654,DECEPTIVE PRACTICE,254,7.437269176
2004,60636,BATTERY,4418,7.431089731
2015,60606,CRIMINAL DAMAGE,82,7.430924049
2011,60621,BATTERY,2690,7.429618716
2009,60621,BATTERY,3046,7.429307593
2008,60636,HOMICIDE,26,7.427974911
2005,60624,BATTERY,3963,7.427738432
2004,60602,MOTOR VEHICLE THEFT,34,7.425572946
2012,60606,SEX OFFENSE,3,7.423415449
2005,60621,ASSAULT,1203,7.421805567
2016,60601,PROSTITUTION,11,7.42157797
2003,60624,PROSTITUTION,293,7.420309512
2007,60626,CRIM SEXUAL ASSAULT,95,7.416462196
2007,60654,CRIMINAL TRESPASS,252,7.41587355
2011,60637,CRIMINAL TRESPASS,530,7.414540234
2009,60612,PROSTITUTION,163,7.411691513
2002,60610,CRIMINAL TRESPASS,647,7.409376599
2008,60624,BATTERY,3569,7.397736138
2006,60636,NARCOTICS,2817,7.397175548
2007,60624,STALKING,10,7.388325932
2005,60636,BATTERY,4232,7.386981041
2001,60660,OBSCENITY,1,7.382400085
2014,60619,STALKING,11,7.38212579
2015,60621,ROBBERY,426,7.379817834
2002,60604,WEAPONS VIOLATION,3,7.372398235
2005,60621,HOMICIDE,20,7.372245966
2004,60639,OTHER NARCOTIC VIOLATION,1,7.369924649
2006,60639,OTHER NARCOTIC VIOLATION,1,7.369924649
2002,60626,ROBBERY,1141,7.367662305
2013,60603,PROSTITUTION,1,7.362929684
2004,60644,GAMBLING,67,7.360792422
2008,60636,BATTERY,3813,7.360509715
2006,60621,ARSON,32,7.360060435
2006,60624,BATTERY,3772,7.358888035
2009,60624,BATTERY,3201,7.358033169
2015,60636,HOMICIDE,25,7.357412591
2015,60621,OTHER OFFENSE,772,7.350722388
2011,60636,CRIMINAL TRESPASS,434,7.345754928
2013,60621,ARSON,16,7.339840489
2004,60653,CRIMINAL TRESPASS,582,7.333160073
2015,60628,CONCEALED CARRY LICENSE VIOLATION,3,7.328257568
2008,60636,INTERFERENCE WITH PUBLIC OFFICER,29,7.327982941
2014,60636,KIDNAPPING,11,7.327982941
2015,60636,NON - CRIMINAL,1,7.327982941
2008,60633,STALKING,3,7.324492189
2003,60636,BATTERY,4416,7.323339519
2011,60652,OBSCENITY,2,7.320289802
2009,60619,STALKING,13,7.313809983
2011,60605,DECEPTIVE PRACTICE,377,7.306570909
2012,60613,PUBLIC INDECENCY,1,7.306046588
2014,60613,NON-CRIMINAL,1,7.306046588
2003,60628,INTIMIDATION,32,7.301414134
2002,60626,ARSON,63,7.301175697
2014,60624,CRIM SEXUAL ASSAULT,61,7.3001155
2007,60649,CRIM SEXUAL ASSAULT,87,7.299892329
2006,60611,DECEPTIVE PRACTICE,474,7.299684755
2012,60637,CRIMINAL TRESPASS,495,7.299174181
2009,60649,CRIM SEXUAL ASSAULT,80,7.298522665
2012,60602,NARCOTICS,52,7.298190334
2002,60616,CRIMINAL TRESPASS,818,7.296760339
2001,60632,PUBLIC INDECENCY,1,7.29576219
2010,60661,DECEPTIVE PRACTICE,118,7.29526545
2016,60649,INTERFERENCE WITH PUBLIC OFFICER,53,7.294322498
2011,60624,ASSAULT,945,7.286067244
2006,60616,OBSCENITY,1,7.283117612
2014,60621,BATTERY,2156,7.280909197
2004,60654,DECEPTIVE PRACTICE,239,7.279886296
2006,60621,ASSAULT,1131,7.279087714
2007,60632,PROSTITUTION,674,7.27059199
2006,60653,INTIMIDATION,10,7.264590881
2012,60654,DECEPTIVE PRACTICE,243,7.26342668
2006,60651,INTERFERENCE WITH PUBLIC OFFICER,59,7.26277172
